epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,12115.9,0.92453,1.41223,1.27623,0.46181,0.35585,0.3359,0.20023,1.42799,2.04726,1.70552,0.00741194,0.00741194,0.00741194
43,12402.7,0.91639,1.41867,1.27869,0.47068,0.35143,0.34778,0.21142,1.40336,2.0227,1.69292,0.00729725,0.00729725,0.00729725
44,12689.4,0.90984,1.40782,1.27401,0.46339,0.32104,0.31683,0.19013,1.45872,2.14208,1.76146,0.00718103,0.00718103,0.00718103
45,12975.8,0.91421,1.40177,1.27534,0.4363,0.36029,0.32358,0.19259,1.44012,2.08166,1.72143,0.00706335,0.00706335,0.00706335
46,13261.8,0.90201,1.38715,1.26978,0.43673,0.35832,0.33846,0.20315,1.45607,2.0644,1.75504,0.00694428,0.00694428,0.00694428
47,13548.1,0.90072,1.37837,1.27005,0.46755,0.37776,0.35772,0.22106,1.40627,1.96153,1.68531,0.00682392,0.00682392,0.00682392
48,13834.5,0.89185,1.36983,1.26312,0.4657,0.3546,0.32983,0.20369,1.41729,2.0808,1.71485,0.00670234,0.00670234,0.00670234
49,14120.5,0.89952,1.36985,1.27255,0.42864,0.34997,0.33544,0.20353,1.39687,2.03564,1.67867,0.00657963,0.00657963,0.00657963
50,14406.6,0.8926,1.36847,1.2671,0.47061,0.3593,0.3508,0.21691,1.40711,2.01238,1.7034,0.00645588,0.00645588,0.00645588
51,14692.9,0.89099,1.36341,1.26185,0.44152,0.34481,0.32994,0.20107,1.4251,2.12178,1.72555,0.00633115,0.00633115,0.00633115
52,14979.3,0.88282,1.34629,1.25679,0.4706,0.36062,0.35632,0.22208,1.37756,1.99629,1.66097,0.00620555,0.00620555,0.00620555
53,15265.8,0.88112,1.33901,1.25746,0.47718,0.35206,0.34915,0.21637,1.39738,2.03847,1.69463,0.00607916,0.00607916,0.00607916
54,15551.9,0.88998,1.33411,1.26175,0.48418,0.36644,0.361,0.22807,1.39731,1.98993,1.68133,0.00595207,0.00595207,0.00595207
55,15837.9,0.87069,1.32217,1.25815,0.47862,0.38273,0.3706,0.23285,1.36787,1.93736,1.65243,0.00582435,0.00582435,0.00582435
56,16124.2,0.87531,1.30149,1.25194,0.51432,0.37016,0.3885,0.2442,1.36767,1.91411,1.64321,0.0056961,0.0056961,0.0056961
57,16410.6,0.87478,1.30424,1.24941,0.4542,0.37794,0.35537,0.22045,1.38702,1.993,1.6807,0.00556742,0.00556742,0.00556742
58,16696.4,0.8683,1.30695,1.24421,0.47929,0.38151,0.37428,0.23476,1.37273,1.9483,1.66076,0.00543837,0.00543837,0.00543837
59,16982.4,0.86132,1.28549,1.24083,0.5044,0.38711,0.38127,0.23955,1.3645,1.94609,1.64735,0.00530906,0.00530906,0.00530906
60,17268.1,0.86044,1.27618,1.24194,0.50677,0.37142,0.38043,0.2391,1.36735,1.96971,1.66452,0.00517958,0.00517958,0.00517958
61,17553.8,0.85396,1.25876,1.23443,0.50772,0.39038,0.38858,0.24681,1.35919,1.92192,1.64282,0.00505,0.00505,0.00505
62,17839.2,0.85762,1.25502,1.2433,0.50329,0.38823,0.38954,0.24508,1.35823,1.92206,1.65386,0.00492042,0.00492042,0.00492042
63,18124.3,0.85925,1.25603,1.23736,0.48018,0.38952,0.38535,0.24267,1.37611,1.98405,1.66618,0.00479094,0.00479094,0.00479094
64,18409.5,0.84705,1.24196,1.23286,0.49164,0.39223,0.38696,0.24757,1.363,1.94537,1.64408,0.00466163,0.00466163,0.00466163
65,18694.7,0.84403,1.24384,1.22987,0.53524,0.39176,0.39994,0.2527,1.34832,1.91625,1.62241,0.00453258,0.00453258,0.00453258
66,18980,0.83108,1.2242,1.22087,0.5174,0.39962,0.40938,0.26076,1.34443,1.88805,1.62057,0.0044039,0.0044039,0.0044039
67,19265.4,0.8248,1.19796,1.22028,0.51727,0.40575,0.40857,0.25828,1.33858,1.87814,1.61605,0.00427565,0.00427565,0.00427565
68,19550.8,0.82157,1.19802,1.21661,0.53468,0.40112,0.41044,0.2599,1.34092,1.85603,1.62188,0.00414793,0.00414793,0.00414793
69,19836,0.82212,1.19725,1.22136,0.54017,0.3825,0.40891,0.26031,1.33917,1.87231,1.62213,0.00402084,0.00402084,0.00402084
70,20121,0.82459,1.17845,1.21564,0.52351,0.40451,0.40812,0.26258,1.33055,1.89449,1.61051,0.00389445,0.00389445,0.00389445
71,20406.3,0.82245,1.18479,1.21409,0.5297,0.40874,0.41619,0.2658,1.32322,1.85181,1.60525,0.00376885,0.00376885,0.00376885
72,20691.6,0.82002,1.1589,1.20947,0.55955,0.39372,0.4137,0.26545,1.32196,1.84991,1.59786,0.00364412,0.00364412,0.00364412
73,20976.2,0.8107,1.16192,1.20989,0.53111,0.4123,0.41902,0.27103,1.31422,1.84059,1.58365,0.00352037,0.00352037,0.00352037
74,21260.9,0.80675,1.16059,1.20541,0.55416,0.40878,0.42738,0.27573,1.31199,1.78973,1.57834,0.00339766,0.00339766,0.00339766
75,21546.3,0.8048,1.12408,1.20256,0.54455,0.4092,0.42505,0.27427,1.31967,1.81759,1.59559,0.00327608,0.00327608,0.00327608
76,21831.2,0.81462,1.14247,1.20746,0.53646,0.41653,0.42083,0.27291,1.32221,1.84178,1.59741,0.00315572,0.00315572,0.00315572
77,22116.1,0.8024,1.133,1.20071,0.54407,0.40028,0.42103,0.2732,1.32114,1.84825,1.59541,0.00303665,0.00303665,0.00303665
78,22401,0.785,1.11509,1.19956,0.56501,0.40714,0.42503,0.27541,1.31485,1.82183,1.59534,0.00291897,0.00291897,0.00291897
79,22686.2,0.7924,1.10145,1.19071,0.55299,0.41286,0.43428,0.28334,1.31378,1.79063,1.59016,0.00280275,0.00280275,0.00280275
80,22971,0.77329,1.0945,1.1848,0.54499,0.42709,0.43295,0.28043,1.31043,1.80936,1.59255,0.00268806,0.00268806,0.00268806
